business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Kadam Sir's Classes,9823972809,Tuition,4.0,41,https://facebook.com,"Shyam Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Kadam Sir's Classes/data=!4m7!3m6!1s0x3bd6a4bd4e0f3b2f:0x5e0351309533e9c6!8m2!3d20.925515!4d77.7678195!16s/g/11csb2nkvv!19sChIJLzsPTr2k1jsRxukzlTBRA14
Icad Institute Amravati Best IIT JEE NEET & Foundation Coaching Center,7074347074,"IIT JEE, NEET, NDA",3.9,134,http://icadiit.com,"Maltekdi, Amravati",Amravati,,,"https://www.google.com/maps/place/ICAD Institute Amravati Best IIT JEE, NEET & Foundation Coaching Center/data=!4m7!3m6!1s0x3bd6a4a61fd1c9d9:0x6d49f69c4e27f906!8m2!3d20.9310662!4d77.7592523!16s/g/11bc7r3w30!19sChIJ2cnRH6ak1jsRBvknTpz2SW0"
Gravity Foundation Classes,9623571945,"NDA, Tuition",,,https://zresm.courses.store,Amravati,Amravati,,,https://www.google.com/maps/place/Gravity Foundation Classes/data=!4m7!3m6!1s0x3bd6bd301d9982ef:0xaaad7365384a7d17!8m2!3d20.9387189!4d77.7389226!16s/g/11yfs7dxb1!19sChIJ74KZHTC91jsRF31KOGVzrao
Agrawal's Professional Academy Apa,9860792522,Tuition,5.0,80,,"Amba Peth, Amravati",Amravati,,,https://www.google.com/maps/place/AGRAWAL'S PROFESSIONAL ACADEMY (APA)/data=!4m7!3m6!1s0x3bd6a5c0b01ca1a1:0xaef18533de78822d!8m2!3d20.9260264!4d77.7561281!16s/g/11t3vmcybn!19sChIJoaEcsMCl1jsRLYJ43jOF8a4
Aniket Thakare Chemistry Classes,9890911383,"IIT JEE, NEET, CET, Tuition, Science",5.0,270,,"Sharda Vihar, Amravati",Amravati,,,https://www.google.com/maps/place/Aniket Thakare Chemistry Classes - Best JEE Coaching Classes In Amravati Best NEET Coaching Classes In Amravati MHT-CET/data=!4m7!3m6!1s0x3bd6a56b2da87eb3:0x5a99dc042310bda8!8m2!3d20.9169834!4d77.7516255!16s/g/11sswp5_gv!19sChIJs36oLWul1jsRqL0QIwTcmVo
Chanakya Academy,,Tuition,5.0,39,,"Vivekanand Colony, Amravati",Amravati,,,https://www.google.com/maps/place/CHANAKYA Academy/data=!4m7!3m6!1s0x3bd6a5001a136ee3:0xbf582ff9ec0c32a6!8m2!3d20.9206584!4d77.7592047!16s/g/11vxphvlgy!19sChIJ424TGgCl1jsRpjIM7PkvWL8
Creative Academy,7350710712,Tuition,5.0,31,,"Panchavati, Amravati",Amravati,,,https://www.google.com/maps/place/Creative Academy/data=!4m7!3m6!1s0x3bd6a35e944ff01d:0xb675d2904670b329!8m2!3d20.941351!4d77.764025!16s/g/11tjy87kbv!19sChIJHfBPlF6j1jsRKbNwRpDSdbY
Dr Madhuri Gulhane's Biology Uccb Amravati Best NEET Biology Amravati,7709161757,"NEET, Science",5.0,64,,"Uccb, Amravati",Amravati,,,https://www.google.com/maps/place/Dr Madhuri Gulhane's Biology UCCB Amravati Best NEET Biology Amravati/data=!4m7!3m6!1s0x3bd6a3a9b73b540f:0x99736d5c805adee5!8m2!3d20.9183927!4d77.7489633!16s/g/11hy_82_0_!19sChIJD1Q7t6mj1jsR5d5agFxtc5k
Global Spoken English & Personality Development,9637339536,"Spoken English, Tuition",5.0,674,,"Transport Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/GLOBAL SPOKEN ENGLISH & PERSONALITY DEVELOPMENT/data=!4m7!3m6!1s0x3bd6bd9c9f941d3f:0xc5defe1b0fdbe936!8m2!3d20.9452371!4d77.7421277!16s/g/11hyvdktbd!19sChIJPx2Un5y91jsRNunbDxv-3sU
Jayhari Shep Physics Classes,8975738087,"Tuition, Science",5.0,251,,"Devankar Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Jayhari Shep physics classes/data=!4m7!3m6!1s0x3bd6a51f272ccf17:0x8dd89a90a60a10de!8m2!3d20.9178433!4d77.7520711!16s/g/11h4qhv_gx!19sChIJF88sJx-l1jsR3hAKppCa2I0
Kushwah Sir Concept Of Chemistry,8208614452,"Tuition, Science",5.0,65,,"Ganesh Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Kushwah Sir Concept of Chemistry/data=!4m7!3m6!1s0x3bd6a5fcec094629:0x3a513257a0760020!8m2!3d20.9211763!4d77.7483581!16s/g/11v9_swss6!19sChIJKUYJ7Pyl1jsRIAB2oFcyUTo
Nucleon Coaching Center,8275288882,Tuition,5.0,31,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Nucleon Coaching Center/data=!4m7!3m6!1s0x3bd6a3e1d61ca88b:0x210ac3bfe14db829!8m2!3d20.9505985!4d77.7660941!16s/g/11xtglwq14!19sChIJi6gc1uGj1jsRKbhN4b_DCiE
Range Sir Biology Classes,8149694591,"NEET, CET, Tuition, Science",5.0,88,,"Sharda Vihar, Amravati",Amravati,,,https://www.google.com/maps/place/Range Sir Biology Classes - Best Biology Classes In Amravati NEET Classes In Amravati CET Classes Amravati/data=!4m7!3m6!1s0x3bd6a54ff9ea3ba3:0x2e118e0f3e34ecf5!8m2!3d20.9178423!4d77.7520915!16s/g/11syw_r734!19sChIJozvq-U-l1jsR9ew0Pg-OES4
Rg Classes 11th 12th Commerce Classes,8380885566,"Commerce Classes, CA, Tuition",5.0,112,,"Amrawati Tahsil, Amravati",Amravati,,,"https://www.google.com/maps/place/RG Classes 11th 12th Commerce Classes , CA Classes Amravati/data=!4m7!3m6!1s0x3bd6a50121523205:0x4c4de5a799c9cdf7!8m2!3d20.9292155!4d77.7565492!16s/g/11h6g2c_7_!19sChIJBTJSIQGl1jsR983JmaflTUw"
Studentspoint4u,,Tuition,5.0,6,,"Zakir Colony, Amravati",Amravati,,,https://www.google.com/maps/place/studentspoint4u/data=!4m7!3m6!1s0x3bd6bd02d211033f:0xcf6aae2a71d22a56!8m2!3d20.9401132!4d77.7434096!16s/g/11fl5mjl2b!19sChIJPwMR0gK91jsRVirScSquas8
Bhuyar Sir Educare,9420123994,Tuition,4.9,134,,"Navsaari, Amravati",Amravati,,,https://www.google.com/maps/place/Bhuyar Sir Educare/data=!4m7!3m6!1s0x3bd6bdc620bc1e93:0x80e0281b0b4f434f!8m2!3d20.9742868!4d77.7399714!16s/g/11n8sww8wg!19sChIJkx68IMa91jsRT0NPCxso4IA
Ccit Banking Institute Amravati,7219596555,"CET, Banking",4.9,294,,"Sharda Vihar, Amravati",Amravati,,,https://www.google.com/maps/place/CCIT BANKING INSTITUTE AMRAVATI/data=!4m7!3m6!1s0x3bd6a58b6cef3419:0xf332a123c089bded!8m2!3d20.9185134!4d77.7539012!16s/g/11fhzzvclx!19sChIJGTTvbIul1jsR7b2JwCOhMvM
Dnyaneshwari English Classes,,"Tuition, English Academy",4.9,30,,"Vijay Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Dnyaneshwari English Classes/data=!4m7!3m6!1s0x3bd6a36ac1fc54dd:0x3e3c87babcaec20b!8m2!3d20.9673198!4d77.7499356!16s/g/11pq5klrgp!19sChIJ3VT8wWqj1jsRC8KuvLqHPD4
Excellence Institute,8446438515,"IIT JEE, Banking, MPSC",4.9,11,,"Gadge Nagar, Amravati",Amravati,Akot,,https://www.google.com/maps/place/Excellence Institute/data=!4m7!3m6!1s0x3bd6a3b7d7dba943:0x6eba5044121dada3!8m2!3d20.9509598!4d77.7630247!16s/g/11s11j6b7l!19sChIJQ6nb17ej1jsRo60dEkRQum4
Excellent Commerce Academy,8975469169,"Commerce Classes, Tuition",4.9,91,,"Kiran Nagar 1, Amravati",Amravati,,,https://www.google.com/maps/place/EXCELLENT COMMERCE ACADEMY/data=!4m7!3m6!1s0x3bd6a5a5d51f81fb:0xb14075299e637fa2!8m2!3d20.9160631!4d77.7665848!16s/g/11rr9020tg!19sChIJ-4Ef1aWl1jsRon9jnil1QLE
Gupta Sirs Shri Sai Commerce Classes,8149912550,"Commerce Classes, Tuition",4.9,33,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Gupta Sirs Shri Sai Commerce Classes/data=!4m7!3m6!1s0x3bd6a367f2856e41:0x277b357cb467b792!8m2!3d20.9475047!4d77.7687575!16s/g/11f3jw4h07!19sChIJQW6F8mej1jsRkrdntHw1eyc
Joshi Coaching Classes,7588224447,Tuition,4.9,76,,"Rajapeth, Amravati",Amravati,,,https://www.google.com/maps/place/Joshi Coaching Classes/data=!4m7!3m6!1s0x3bd6a5fb0d5f14a7:0x1490e30aab3671f!8m2!3d20.9216538!4d77.7535446!16s/g/11syr5r24j!19sChIJpxRfDful1jsRH2ezqjAOSQE
One On One Share Market Training And Guidance Centre,8983710731,Tuition,4.9,661,,"Rajkamal Square, Amravati",Amravati,,,https://www.google.com/maps/place/One On One Share Market Training and Guidance Centre/data=!4m7!3m6!1s0x3bd6a58a0129c7f9:0x554aaceaf7ffc4a2!8m2!3d20.9265674!4d77.7532162!16s/g/11f5_l1z4r!19sChIJ-ccpAYql1jsRosT_9-qsSlU
Swami Vivekanand Banking Tutorial,7776019183,"Banking, Tuition",4.9,127,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Swami Vivekanand Banking Tutorial/data=!4m7!3m6!1s0x3bd6a39505728569:0x7492269c3c040922!8m2!3d20.9434609!4d77.7694216!16s/g/11f7bzjdy5!19sChIJaYVyBZWj1jsRIgkEPJwmknQ
Yawalkar Tutorials,,Tuition,4.9,90,,"Rajapeth, Amravati",Amravati,,,https://www.google.com/maps/place/YAWALKAR TUTORIALS/data=!4m7!3m6!1s0x3bd6a4b083bb7a69:0xc2167a1ba99cb6d1!8m2!3d20.9208551!4d77.756365!16s/g/11c2lcvqpj!19sChIJaXq7g7Ck1jsR0bacqRt6FsI
Ideal Coaching Classes,9604334722,Tuition,4.8,252,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Ideal Coaching Classes/data=!4m7!3m6!1s0x3bd6a36771eaa7c1:0x44d069d9200b10b4!8m2!3d20.9452564!4d77.7693777!16s/g/11g9dj_p5h!19sChIJwafqcWej1jsRtBALINlp0EQ
Maya Centre For Learning,,IIT JEE,4.8,31,,"Bapu Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Maya Centre For Learning/data=!4m7!3m6!1s0x3bd6a56868a5474b:0xa9a82c883cff1d03!8m2!3d20.9125422!4d77.7630301!16s/g/11h49kp3w5!19sChIJS0elaGil1jsRAx3_PIgsqKk
Pravinya Study Circle,9175737538,Tuition,4.8,44,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/Pravinya Study Circle/data=!4m7!3m6!1s0x3bd6a34d39292f59:0x230e94e496dc7ff6!8m2!3d20.9467053!4d77.7654828!16s/g/11ghpgj5rq!19sChIJWS8pOU2j1jsR9n_cluSUDiM
Awacademy,8983315203,Tuition,4.7,572,,"Rathi Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/AWAcademy/data=!4m7!3m6!1s0x3bd6a342c373a49f:0x771934ee70000000!8m2!3d20.9496639!4d77.7669794!16s/g/11rdx1p4mv!19sChIJn6Rzw0Kj1jsRAAAAcO40GXc
Resonance Academy,7758816553,Tuition,4.7,193,,"Samata Colony, Amravati",Amravati,,,https://www.google.com/maps/place/Resonance Academy/data=!4m7!3m6!1s0x3bd6a33869d29a19:0x5e572438813cff7e!8m2!3d20.9616985!4d77.758921!16s/g/12jlnxrvq!19sChIJGZrSaTij1jsRfv88gTgkV14
Chanakya Academy Ajinkya Waghmare Sir,9503333839,Tuition,4.6,120,,"Gadge Nagar, Amravati",Amravati,,,https://www.google.com/maps/place/CHANAKYA ACADEMY-Ajinkya Waghmare Sir/data=!4m7!3m6!1s0x3bd6a34ce4e68769:0xe28e0fc3350a7ded!8m2!3d20.9512892!4d77.7671668!16s/g/11grbv7x95!19sChIJaYfm5Eyj1jsR7X0KNcMPjuI
Iin Ideal Institute Of NEET,7620599664,"IIT JEE, NEET",4.6,20,,"Jyastambh Chowk, Amravati",Amravati,,,https://www.google.com/maps/place/IIN Ideal Institute of NEET/data=!4m7!3m6!1s0x3bd6a53dbf372ea5:0xd8f927f0b99f0202!8m2!3d20.930639!4d77.7548938!16s/g/11sx4lyj58!19sChIJpS43vz2l1jsRAgKfufAn-dg
Shree Education Zone,8999982145,"CET, Banking",4.6,11,,"Midc Rd, Amravati",Amravati,,,https://www.google.com/maps/place/Shree Education Zone/data=!4m7!3m6!1s0x3bd6a50523833335:0x82182ffbc0106fd!8m2!3d20.8988446!4d77.7647188!16s/g/11f6xzt4nb!19sChIJNTODIwWl1jsR_QYBvP-CIQg
